Country,Year,Total
India,1858,0.394488
India,1859,0.636486
India,1860,0.643116
India,1861,0.497254
India,1862,0.550295
India,1863,0.609965
India,1864,0.576815
India,1865,0.56687
India,1866,0.639801
India,1878,1.766911
India,1879,1.684384
India,1880,1.886776
India,1881,1.839335
India,1882,2.196295
India,1883,2.440909
India,1884,2.730015
India,1885,2.459404
India,1886,2.772064
India,1887,3.066019
India,1888,3.409556
India,1889,4.021832
India,1890,4.431674
India,1891,4.772425
India,1892,5.247296
India,1893,5.543195
India,1894,5.61671
India,1895,7.034711
India,1896,7.608035
India,1897,8.253382
India,1898,9.125196
India,1899,10.05449
India,1900,11.929576
India,1901,13.179692
India,1902,14.51544
India,1903,14.802139
India,1904,16.561026
India,1905,16.930739
India,1906,19.549439
India,1907,21.772426
India,1908,24.908271
India,1909,24.142678
India,1910,23.487344
India,1911,24.782474
India,1912,28.52148
India,1913,31.466798
India,1914,31.698181
India,1915,33.141761
India,1916,33.517548
India,1917,35.019811
India,1918,39.359359
India,1919,42.974809
India,1920,34.86802
India,1921,37.505563
India,1922,36.903416
India,1923,37.971935
India,1924,40.628
India,1925,40.084974
India,1926,39.94263
India,1927,41.883842
India,1928,40.07301
India,1929,41.707931
India,1930,42.399551
India,1931,38.851074
India,1932,36.129522
India,1933,35.467387
India,1934,39.611081
India,1935,41.393253
India,1936,40.68453
India,1937,45.067341
India,1938,50.379724
India,1939,49.312291
India,1940,52.309595
India,1941,53.581169
India,1942,53.529607
India,1943,46.644486
India,1944,47.69605
India,1945,52.874104
India,1946,52.225065
India,1947,53.180347
India,1948,53.204148000000004
India,1949,56.187913
India,1950,61.102632
India,1951,64.022191
India,1952,67.426227
India,1953,68.704906
India,1954,72.413709
India,1955,78.787827
India,1956,81.656449
India,1957,91.635453
India,1958,95.815882
India,1959,101.447362
India,1960,111.325172
India,1961,120.404403
India,1962,132.581675
India,1963,142.44429
India,1964,139.488404
India,1965,153.702096
India,1966,159.37356
India,1967,159.555999
India,1968,174.069502
India,1969,177.413523
India,1970,181.722811
India,1971,191.963855
India,1972,203.036163
India,1973,209.095226
India,1974,215.853376
India,1975,234.20934
India,1976,244.749594
India,1977,258.961971
India,1978,263.149789
India,1979,276.284982
India,1980,291.711364
India,1981,314.966469
India,1982,325.380295
India,1983,352.199157
India,1984,361.559743
India,1985,397.592455
India,1986,426.309754
India,1987,455.343444
India,1988,491.692596
India,1989,540.651493
India,1990,577.996538
India,1991,615.365508
India,1992,655.447568
India,1993,677.299816
India,1994,716.268589
India,1995,761.449242
India,1996,825.20080599999994
India,1997,858.935134
India,1998,876.952083
India,1999,950.950878
India,2000,978.103843
India,2001,991.731661
India,2002,1022.175223
India,2003,1058.725338
India,2004,1124.517704
India,2005,1184.926501
India,2006,1258.643267
India,2007,1356.953125
India,2008,1461.518268
India,2009,1611.416152
India,2010,1676.495006
India,2011,1778.472509
India,2012,1962.59435
India,2013,2037.415492
India,2014,2187.343005
India,2015,2270.766191
India,2016,2383.815964
India,2017,2434.867906
India,2018,2600.446463
India,2019,2626.459473
India,2020,2445.011942
India,2021,2709.683625
