Year,Geo Biomass Other - TWh (zero filled),Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled)
1965,0,0,0,0,56.67643,0,2.37252,413.40735,146.99513
1966,0,0,0,0,59.18551,0,2.66327,412.41537,164.14969
1967,0,0,0,0,66.229225,0,3.55878,419.28525,169.36023
1968,0,0,0,0,76.435425,0,3.9542,433.8247,189.77089
1969,0,0,0,0,84.86436,2.0565786,4.74504,460.84122,227.92883
1970,0,0,0,0,90.00013,3.7118735,6.328466,436.80887,226.89145
1971,0,0,0,0,98.71657,2.758825,6.7062187,442.8722,243.33246
1972,0,0,0,0,95.815445,2.6208837,7.3559065,467.68307,262.38327
1973,0,0,0,0,102.035866,5.5427303,7.3366566,461.4494,276.95908
1974,0,0,0,0,98.18077,5.103826,8.303968,520.8561,271.54297
1975,0,0,0,0,117.29943,6.081955,10.630813,559.9062,278.09283
1976,0,0,0,0,122.70963,7.536608,12.914344,583.03485,293.2587
1977,0,0,0,0,133.88287,5.2543073,13.792625,610.3462,315.04404
1978,0,0,0,0,166.10886,6.420538,15.404813,590.6641,342.3745
1979,0,0,0,0,160.17592,6.6588,19.158562,627.49286,369.47275
1980,0,0,0,0,163.93954,6.9472227,11.331032,659.565,376.81616
1981,0,0,0,0,174.70767,6.997383,19.781782,742.1424,405.65527
1982,0,0,0,0,147.43451,6.1195755,25.934563,733.90405,422.65634
1983,0,0,0,0,142.0635,8.727919,30.85775,779.04803,444.35294
1984,0,0,0,0,158.73843,11.461663,35.340595,818.31085,477.06702
1985,0,0,0,0,153.21062,12.7909155,43.228283,857.3971,517.6358
1986,0,0,0,0,155.44527,14.245569,60.400246,921.24005,544.25946
1987,0,0,0,0,144.78168,15.098297,69.57701,1011.6298,561.7668
1988,0,0,0,0,161.4958,17.242657,81.50488,1085.5574,616.5008
1989,0,0,0,0,187.38374,11.411504,96.904594,1179.9412,667.77264
1990,0.037586335,0,0,0.08960583,196.3354,18.145544,115.92735,1276.0251,694.0582
1991,0.09507132,0,0,0.3338736,218.57735,15.361639,129.10802,1357.8777,706.1011
1992,0.11939189,0,0,0.26160473,207.16888,18.170624,144.3469,1438.2566,744.1866
1993,0.25204954,0,0,0.2802339,209.15523,17.66902,146.67085,1489.6254,752.0428
1994,0.3802853,0,0,0.5656128,237.18634,14.032387,158.56918,1537.2871,808.2667
1995,0.56379503,0,0.003,1.4680564,224.49721,21.606615,180.77829,1631.6134,901.3517
1996,0.75614864,0,0.017916666,2.5973604,204.20242,23.838757,197.31721,1678.4825,972.76135
1997,0.9816667,0,0.017916666,2.9215052,207.61319,28.578918,214.52634,1755.3627,1039.8557
1998,1.2925278,0,0.017916666,3.1905913,247.30107,32.265713,235.42876,1813.659,1113.5074
1999,1.6860788,0,0.017916666,4.2758064,243.21075,36.11553,241.23369,1796.674,1222.579
2000,1.6860788,0,0.020916667,4.677957,227.65968,44.743126,253.62694,1911.1663,1281.2372
2001,2.06915,0,0.032642223,6.125288,211.5882,53.248417,254.27748,1926.9531,1285.0222
2002,2.1399007,8.552064,0.038328055,6.08577,200.0712,54.2046,265.54413,2012.7899,1311.6343
2003,2.7125397,7.9651065,0.046870556,7.553315,200.96756,50.48722,284.26898,2107.9836,1336.1466
2004,3.3143632,8.6782465,0.05239361,15.057871,289.99792,58.77755,306.69138,2243.5286,1414.2178
2005,4.035136,8.345937,0.052061945,17.15471,278.95377,48.708836,343.25638,2456.1133,1438.144
2006,5.587,8.86546,0.0205,26.568398,320.4419,48.142445,358.77188,2549.8645,1519.2104
2007,7.403,9.914723,0.16682972,33.03453,346.70337,48.38428,388.1026,2790.2727,1622.9006
2008,9.302,10.363011,0.17703362,40.403576,323.63165,41.069973,399.87665,3020.762,1704.719
2009,11.642,8.838859,0.20945333,45.44022,296.9715,45.065266,491.08084,3284.9893,1793.4768
2010,14.295,10.983733,0.31364027,54.002773,301.82782,61.477684000000004,589.6162,3373.035,1832.5695
2011,17.137,12.502778,2.281407,66.076126,363.32748,85.302246,602.85876,3543.4404,1920.2164
2012,19.936,12.080409,5.7553225,75.21842,317.45135,87.19556,556.9909,3893.3386,2036.4175
2013,22.478,12.048718,9.3563595,81.7827,359.70886,87.11104,490.19302,4131.127,2051.2622
2014,24.676,13.584626,13.298962,90.6326,376.55457,90.17042,485.01566,4543.9326,2107.8127
2015,30.617342,14.423827,17.68308,88.17163,358.92618,98.992966,478.0684,4598.245,2277.9543
2016,24.816965,17.313034,30.935793,116.32454,343.6824,97.35407,507.90982,4688.1104,2498.0293
2017,24.908186,15.2365055,57.336384,140.0618,361.46527,95.54765,535.9986,4844.0034,2571.8875
2018,27.22409,20.410383,96.122734,159.5672,369.74838,99.14306,579.9628,5160.4497,2688.0413
2019,31.511576,22.79362,121.96038,166.89456,427.20215,114.238106,592.4984,5163.8403,2775.6118
2020,32.93788,22.130402,154.11975,158.69983,429.95706,112.43299,604.69946,4833.6235,2521.1052
2021,35.473618,26.626791,178.73424,178.18063,419.51987,110.275894,621.67847,5580.1514,2612.8071
